PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF13166	6	5	8	4	7	10	6	11	8	5	6	5
PF13167	27	20	35	31	27	24	29	43	40	30	30	34
PF13170	0	0	0	1	0	1	0	0	1	1	0	0
PF13171	0	0	0	0	0	1	0	0	0	0	0	0
PF13173	75	60	143	42	122	156	91	203	130	86	152	227
PF13174	380	178	419	527	454	463	606	669	703	469	590	756
PF13175	92	42	104	131	149	122	152	176	163	86	142	140
PF13176	483	133	425	681	508	471	696	617	936	541	600	724
PF13177	58	51	88	110	91	87	125	113	105	72	91	119
PF13179	0	0	0	0	0	0	1	0	0	0	0	0
PF13180	190	76	236	255	202	213	254	307	278	203	212	274
PF13181	832	259	800	1204	868	941	1304	1156	1525	960	1044	1338
PF13182	1	2	6	10	10	10	4	12	13	4	6	5
PF13183	125	79	164	117	200	206	162	268	210	158	264	301
PF13184	27	17	36	46	32	38	36	53	42	37	35	48
PF13185	256	71	256	412	289	392	387	390	642	321	466	570
PF13186	46	23	48	37	54	78	86	92	93	68	112	105
PF13187	245	163	360	202	341	466	313	573	386	319	630	630
PF13188	407	239	729	439	641	609	710	998	944	524	712	834
PF13189	24	19	40	16	34	32	36	76	39	42	57	54
PF13190	4	0	1	1	2	1	1	0	2	3	4	5
PF13191	96	29	94	156	99	105	134	114	209	94	125	167
PF13192	40	27	64	42	57	56	50	79	63	50	60	77
PF13193	148	79	212	254	201	203	230	243	223	220	186	246
PF13194	8	5	9	11	6	9	12	7	3	10	11	13
PF13195	3	3	5	10	8	5	7	8	5	9	2	8
PF13196	3	3	1	2	4	5	6	4	2	8	2	3
PF13197	3	1	4	6	4	3	7	4	11	4	16	7
PF13199	0	0	4	1	4	0	5	6	2	4	1	1
PF13200	9	5	14	8	10	7	14	11	23	12	17	23
PF13201	1	1	0	1	2	0	0	1	0	0	0	1
PF13202	61	12	33	67	34	48	62	42	56	56	42	66
PF13203	10	8	14	10	17	17	31	10	15	9	9	21
PF13204	41	5	35	36	27	48	55	55	63	53	70	66
PF13205	64	10	45	65	64	79	92	104	126	59	98	123
PF13207	46	26	55	52	48	52	42	55	64	41	52	74
PF13208	2	0	2	1	0	1	0	1	0	0	1	0
PF13211	3	0	2	3	5	2	1	2	4	4	4	2
PF13212	0	0	0	0	1	0	0	0	0	0	0	0
PF13217	0	0	0	0	0	0	1	0	0	0	0	0
PF13218	0	0	0	0	0	0	0	1	0	0	0	1
PF13223	1	1	1	1	0	0	2	1	0	1	0	0
PF13224	2	1	5	3	4	2	7	0	7	1	6	8
PF13225	0	2	0	1	1	0	0	0	1	0	0	0
PF13226	0	0	0	0	0	0	0	0	1	0	1	0
PF13227	0	2	0	0	1	1	2	1	0	0	1	0
PF13228	3	1	2	2	1	1	3	4	5	7	0	5
PF13229	236	45	158	181	232	380	249	395	290	246	415	526
PF13230	28	15	27	37	25	27	32	38	37	33	23	23
PF13231	141	20	99	234	138	183	201	235	341	201	243	295
PF13233	0	0	0	0	0	0	1	0	2	0	0	0
PF13234	2	0	0	2	0	1	3	1	3	0	0	0
PF13236	2	0	0	4	1	1	2	0	1	1	0	0
PF13237	286	166	396	227	380	486	347	594	395	318	659	675
PF13238	15	16	24	27	20	15	17	24	20	15	19	22
PF13239	5	0	6	15	8	7	7	5	9	9	3	9
PF13240	28	11	15	32	29	48	41	53	48	27	51	62
PF13241	40	29	65	52	50	45	50	73	49	30	52	81
PF13242	124	73	158	148	143	122	163	190	161	109	155	205
PF13243	31	3	11	36	16	22	24	26	36	23	31	40
PF13244	14	18	35	27	25	24	21	28	28	15	21	32
PF13245	165	108	232	221	233	203	227	257	212	161	206	266
PF13246	26	17	36	30	42	33	34	58	46	21	60	54
PF13247	54	21	79	50	81	97	85	102	73	69	105	116
PF13248	14	7	9	17	14	32	20	38	31	16	35	46
PF13249	23	4	14	30	19	21	27	28	23	20	17	20
PF13250	2	0	0	1	0	1	1	2	2	0	1	1
PF13251	1	0	0	0	0	1	0	1	0	1	0	0
PF13252	6	7	6	5	3	3	8	5	4	9	3	9
PF13256	1	0	0	0	0	0	0	0	0	0	0	0
PF13262	3	2	1	3	1	2	0	4	0	2	1	1
