Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Myxococcus	genus	genus	32	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus		638	51	2	10	110	35	36	80	46	68	68	36	96
Comamonadaceae unclassified	genus	family	80864	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			633	47	11	41	73	50	44	63	61	52	69	48	74
Roseomonas	genus	genus	125216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas		631	51	24	73	61	63	50	56	43	45	55	31	79
Aurantimonas	genus	genus	182269	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas		628	62	29	94	88	67	43	43	56	25	51	19	51
Micrococcales unclassified	genus	order	85006	Bacteria	Actinobacteria	Actinobacteria	Micrococcales				622	48	12	33	64	59	49	70	62	47	64	52	62
Methylopila	genus	genus	61653	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylopila		604	48	37	110	75	38	42	50	35	51	54	19	45
Erythrobacter	genus	genus	1041	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter		593	78	0	72	145	89	12	80	19	61	9	0	28
Chelatococcus	genus	genus	28209	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus		590	40	23	86	74	49	35	51	51	43	51	29	58
Belnapia	genus	genus	365532	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia		585	47	19	57	95	55	44	36	44	33	51	39	65
Algoriphagus	genus	genus	246875	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus		581	7	83	443	10	27	0	5	1	5	0	0	0
Desulfatiglans	genus	genus	1549126	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiglans		574	25	7	34	12	43	64	31	90	31	45	91	101
Sandaracinus	genus	genus	1055688	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus		565	42	0	19	78	73	29	95	28	53	49	40	59
Sphingopyxis	genus	genus	165697	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis		561	51	14	61	102	38	38	53	28	31	52	29	64
Haliangium	genus	genus	162027	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium		551	102	0	22	68	28	32	54	46	43	60	42	54
Aeromonas	genus	genus	642	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas		549	30	16	55	49	50	41	50	49	46	41	47	75
Gemmatimonas	genus	genus	173479	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas		549	49	0	10	74	23	19	51	52	45	87	54	85
Thiobacillus	genus	genus	919	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus		544	72	0	13	51	19	27	119	33	19	154	13	24
Erythrobacteraceae unclassified	genus	family	335929	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae			544	66	8	59	80	86	26	51	30	57	28	21	32
Desulfatibacillum	genus	genus	218207	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum		543	12	5	71	14	39	35	43	97	51	34	64	78
Desulfomicrobium	genus	genus	898	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium		540	10	10	72	11	40	47	50	100	52	16	65	67
Desulfospira	genus	genus	53328	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfospira		529	0	13	71	0	55	36	53	121	77	15	34	54
Desulfobacteraceae unclassified	genus	family	213119	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae			526	9	14	55	7	44	47	43	85	54	38	48	82
Halothece	genus	genus	76023	Bacteria	Cyanobacteria		Chroococcales		Halothece		519	0	39	203	0	106	0	16	127	28	0	0	0
Desulfatirhabdium	genus	genus	497742	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium		513	19	9	43	9	32	56	45	81	34	30	59	96
Pannonibacter	genus	genus	227873	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pannonibacter		512	48	29	88	78	51	23	37	34	47	36	15	26
Desulfovermiculus	genus	genus	339721	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfovermiculus		509	20	179	24	0	31	24	16	126	15	13	31	30
Salinarimonas	genus	genus	690086	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas		503	27	23	52	52	72	24	29	36	103	19	30	36
Brevundimonas	genus	genus	41275	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas		502	32	7	69	106	55	34	45	25	31	56	8	34
Desulfonatronum	genus	genus	66848	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum		502	6	1	49	16	42	55	39	80	44	22	77	71
Sulfitobacter	genus	genus	60136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter		501	60	10	119	127	42	6	46	18	53	5	8	7
Rhodospirillum	genus	genus	1081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum		487	36	7	68	59	43	41	47	32	38	47	12	57
Rhodospirillales unclassified	genus	order	204441	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales				478	30	19	60	81	30	39	39	29	41	45	19	46
Roseobacter	genus	genus	2433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter		474	57	15	101	84	56	13	30	24	32	30	13	19
Enterobacteriaceae unclassified	genus	family	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			472	23	13	33	60	29	34	58	41	49	49	34	49
Haematobacter	genus	genus	366614	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter		470	58	18	95	68	54	27	20	27	38	25	12	28
Unclassified Verrucomicrobia unclassified	genus	no rank	326457	Bacteria	Verrucomicrobia						465	68	0	0	71	0	0	0	154	0	0	0	172
Rhizobium/Agrobacterium group unclassified	genus	no rank	227290	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae			463	46	18	53	78	38	26	40	31	38	43	14	38
Sinorhizobium/Ensifer group unclassified	genus	no rank	227292	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae			463	26	25	54	55	43	29	42	32	45	46	23	43
Rhodococcus	genus	genus	1827	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus		462	35	4	20	86	28	29	44	34	49	53	31	49
Desulfocarbo	genus	genus	1535192	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfocarbo		462	24	8	44	17	29	44	32	55	39	35	71	64
Burkholderiaceae unclassified	genus	family	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae			457	36	8	26	45	31	47	54	42	34	47	31	56
Phenylobacterium	genus	genus	20	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium		455	40	10	38	64	41	26	49	37	34	63	19	34
Rhizobiaceae unclassified	genus	family	82115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae			452	38	16	46	62	39	33	45	34	43	37	16	43
Oscillatoriales unclassified	genus	order	1150	Bacteria	Cyanobacteria		Oscillatoriales				451	30	4	73	89	19	7	40	10	141	32	2	4
