Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Lentisphaerae unclassified	genus	phylum	256845	Bacteria	Lentisphaerae						1	0	0	0	0	0	0	0	0	1	0	0	0
Winogradskyella	genus	genus	286104	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella		1	0	0	0	0	0	0	0	0	1	0	0	0
Tepidanaerobacter	genus	genus	499228	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Tepidanaerobacter		1	0	0	0	0	0	0	0	0	1	0	0	0
Fructobacillus	genus	genus	559173	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus		1	0	0	0	0	0	0	0	0	1	0	0	0
Sporothrix	genus	genus	29907	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix		1	0	0	0	0	0	0	0	0	0	1	0	0
Anaerobaculum	genus	genus	46613	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum		1	0	0	0	0	0	0	0	0	0	1	0	0
Kineosporia	genus	genus	49184	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia		1	0	0	0	0	0	0	0	0	0	1	0	0
Coprothermobacter	genus	genus	68335	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Coprothermobacter		1	0	0	0	0	0	0	0	0	0	1	0	0
Hippea	genus	genus	84404	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Hippea		1	0	0	0	0	0	0	0	0	0	1	0	0
Panicovirus	genus	genus	186844	Viruses				Tombusviridae	Panicovirus		1	0	0	0	0	0	0	0	0	0	1	0	0
Advenella	genus	genus	290425	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella		1	0	0	0	0	0	0	0	0	0	1	0	0
Epilithonimonas	genus	genus	358033	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Epilithonimonas		1	0	0	0	0	0	0	0	0	0	1	0	0
Methanocella	genus	genus	570266	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella		1	0	0	0	0	0	0	0	0	0	1	0	0
Kosmotoga	genus	genus	651456	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga		1	0	0	0	0	0	0	0	0	0	1	0	0
Phicbklikevirus	genus	genus	1623296	Viruses			Caudovirales	Siphoviridae	Phicbklikevirus		1	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Yanofskybacteria unclassified	genus	phylum	1752733	Bacteria	Candidatus Yanofskybacteria						1	0	0	0	0	0	0	0	0	0	1	0	0
Planococcus	genus	genus	1372	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus		1	0	0	0	0	0	0	0	0	0	0	1	0
Dependoparvovirus	genus	genus	10803	Viruses				Parvoviridae	Dependoparvovirus		1	0	0	0	0	0	0	0	0	0	0	1	0
Phascolarctobacterium	genus	genus	33024	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium		1	0	0	0	0	0	0	0	0	0	0	1	0
Succinivibrionaceae unclassified	genus	family	83763	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae			1	0	0	0	0	0	0	0	0	0	0	1	0
Thalassomonas	genus	genus	137583	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassomonas		1	0	0	0	0	0	0	0	0	0	0	1	0
Salinimicrobium	genus	genus	561367	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium		1	0	0	0	0	0	0	0	0	0	0	1	0
Demequina	genus	genus	577469	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Demequina		1	0	0	0	0	0	0	0	0	0	0	1	0
Luteipulveratus	genus	genus	745364	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Luteipulveratus		1	0	0	0	0	0	0	0	0	0	0	1	0
Saccharopolyspora	genus	genus	1835	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora		1	0	0	0	0	0	0	0	0	0	0	0	1
Pyrobaculum	genus	genus	2276	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum		1	0	0	0	0	0	0	0	0	0	0	0	1
Pyrodictium	genus	genus	2308	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium		1	0	0	0	0	0	0	0	0	0	0	0	1
Rhadinovirus	genus	genus	10379	Viruses			Herpesvirales	Herpesviridae	Rhadinovirus		1	0	0	0	0	0	0	0	0	0	0	0	1
Microvirus	genus	genus	10842	Viruses				Microviridae	Microvirus		1	0	0	0	0	0	0	0	0	0	0	0	1
Coltivirus	genus	genus	10911	Viruses				Reoviridae	Coltivirus		1	0	0	0	0	0	0	0	0	0	0	0	1
Myxotrichaceae unclassified	genus	family	37240	Fungi	Ascomycota	Leotiomycetes		Myxotrichaceae			1	0	0	0	0	0	0	0	0	0	0	0	1
Erythroparvovirus	genus	genus	40121	Viruses				Parvoviridae	Erythroparvovirus		1	0	0	0	0	0	0	0	0	0	0	0	1
Aeropyrum	genus	genus	56635	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum		1	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Microgenomates unclassified	genus	phylum	67820	Bacteria	Candidatus Microgenomates						1	0	0	0	0	0	0	0	0	0	0	0	1
Caldivirga	genus	genus	76886	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga		1	0	0	0	0	0	0	0	0	0	0	0	1
Erysipelotrichaceae unclassified	genus	family	128827	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae			1	0	0	0	0	0	0	0	0	0	0	0	1
Geoglobus	genus	genus	190818	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus		1	0	0	0	0	0	0	0	0	0	0	0	1
Isoptericola	genus	genus	254250	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola		1	0	0	0	0	0	0	0	0	0	0	0	1
Methanoregula	genus	genus	395331	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula		1	0	0	0	0	0	0	0	0	0	0	0	1
Catenulisporales unclassified	genus	order	414714	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales				1	0	0	0	0	0	0	0	0	0	0	0	1
Kiloniella	genus	genus	454159	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Kiloniella		1	0	0	0	0	0	0	0	0	0	0	0	1
Mimiviridae unclassified	genus	family	549779	Viruses				Mimiviridae			1	0	0	0	0	0	0	0	0	0	0	0	1
Desulfurobacteriaceae unclassified	genus	family	558314	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae			1	0	0	0	0	0	0	0	0	0	0	0	1
Leptospiraceae unclassified	genus	family	170	Bacteria	Spirochaetes	Spirochaetia		Leptospiraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Azotobacter group unclassified	genus	subfamily	351	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Wolbachieae unclassified	genus	tribe	952	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobi unclassified	genus	phylum	1090	Bacteria	Chlorobi						0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexaceae unclassified	genus	family	1106	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Scytonemataceae unclassified	genus	family	1182	Bacteria	Cyanobacteria		Nostocales	Scytonemataceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorales unclassified	genus	order	1212	Bacteria	Cyanobacteria		Prochlorales				0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcaceae unclassified	genus	family	1217	Bacteria	Cyanobacteria		Prochlorales	Prochlorococcaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorotrichaceae unclassified	genus	family	1221	Bacteria	Cyanobacteria		Prochlorales	Prochlorotrichaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus unclassified	genus	phylum	1297	Bacteria	Deinococcus-Thermus						0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales unclassified	genus	order	2037	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales				0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcales unclassified	genus	order	2258	Archaea	Euryarchaeota	Thermococci	Thermococcales				0	0	0	0	0	0	0	0	0	0	0	0	0
Pleosporaceae unclassified	genus	family	28556	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosomonadales unclassified	genus	order	32003	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales				0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteria unclassified	genus	phylum	32066	Bacteria	Fusobacteria						0	0	0	0	0	0	0	0	0	0	0	0	0
Opisthokonta unclassified	genus	no rank	33154	None							0	0	0	0	0	0	0	0	0	0	0	0	0
SsRNA positive-strand viruses, no DNA stage unclassified	genus	no rank	35278	Viruses							0	0	0	0	0	0	0	0	0	0	0	0	0
Blattabacteriaceae unclassified	genus	family	39782	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Halanaerobiales unclassified	genus	order	53433	Bacteria	Firmicutes	Clostridia	Halanaerobiales				0	0	0	0	0	0	0	0	0	0	0	0	0
Thermales unclassified	genus	order	68933	Bacteria	Deinococcus-Thermus	Deinococci	Thermales				0	0	0	0	0	0	0	0	0	0	0	0	0
Frankiaceae unclassified	genus	family	74712	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nidovirales unclassified	genus	order	76804	Viruses			Nidovirales				0	0	0	0	0	0	0	0	0	0	0	0	0
Ant, tsetse, mealybug, aphid, etc. endosymbionts unclassified	genus	no rank	84563	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Ant endosymbionts unclassified	genus	no rank	84564	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacteriales unclassified	genus	order	85004	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales				0	0	0	0	0	0	0	0	0	0	0	0	0
Micromonosporales unclassified	genus	order	85008	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales				0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardiales unclassified	genus	order	85010	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales				0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetales unclassified	genus	order	85011	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales				0	0	0	0	0	0	0	0	0	0	0	0	0
Glycomycetales unclassified	genus	order	85014	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales				0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacteriaceae unclassified	genus	family	85019	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Dermabacteraceae unclassified	genus	family	85020	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Glycomycetaceae unclassified	genus	family	85034	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Chromobacterium group unclassified	genus	no rank	90153	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriales unclassified	genus	order	91347	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales				0	0	0	0	0	0	0	0	0	0	0	0	0
Simkaniaceae unclassified	genus	family	92712	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Simkaniaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Parachlamydiaceae unclassified	genus	family	92713	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Pleosporales unclassified	genus	order	92860	Fungi	Ascomycota	Dothideomycetes	Pleosporales				0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriia unclassified	genus	class	117747	Bacteria	Bacteroidetes	Sphingobacteriia					0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophilales unclassified	genus	order	119069	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales				0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia subdivision 3 unclassified	genus	family	134621	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3			0	0	0	0	0	0	0	0	0	0	0	0	0
Pasteurellales unclassified	genus	order	135625	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales				0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes unclassified	genus	phylum	142182	Bacteria	Gemmatimonadetes						0	0	0	0	0	0	0	0	0	0	0	0	0
Mycetozoa unclassified	genus	no rank	142796	Protista							0	0	0	0	0	0	0	0	0	0	0	0	0
Brachyspiraceae unclassified	genus	family	143786	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizomycotina unclassified	genus	subphylum	147538	Fungi	Ascomycota						0	0	0	0	0	0	0	0	0	0	0	0	0
Dothideomycetes unclassified	genus	class	147541	Fungi	Ascomycota	Dothideomycetes					0	0	0	0	0	0	0	0	0	0	0	0	0
Williamsiaceae unclassified	genus	family	182102	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Williamsiaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcaceae unclassified	genus	family	183710	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococci unclassified	genus	class	183968	Archaea	Euryarchaeota	Thermococci					0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcaceae unclassified	genus	family	186827	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphonales unclassified	genus	order	189772	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales				0	0	0	0	0	0	0	0	0	0	0	0	0
Herpetosiphonaceae unclassified	genus	family	189773	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospirales unclassified	genus	order	189778	Bacteria	Nitrospirae	Nitrospira	Nitrospirales				0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobia unclassified	genus	class	191410	Bacteria	Chlorobi	Chlorobia					0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobiales unclassified	genus	order	191411	Bacteria	Chlorobi	Chlorobia	Chlorobiales				0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Enterobacteriaceae unclassified	genus	no rank	191675	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriia unclassified	genus	class	203490	Bacteria	Fusobacteria	Fusobacteriia					0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiae unclassified	genus	class	203494	Bacteria	Verrucomicrobia	Verrucomicrobiae					0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetia unclassified	genus	class	203692	Bacteria	Spirochaetes	Spirochaetia					0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospira unclassified	genus	class	203693	Bacteria	Nitrospirae	Nitrospira					0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiia unclassified	genus	class	204429	Bacteria	Chlamydiae	Chlamydiia					0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriia unclassified	genus	class	204432	Bacteria	Acidobacteria	Acidobacteriia					0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriales unclassified	genus	order	204433	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales				0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacterales unclassified	genus	order	204458	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales				0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophilaceae unclassified	genus	family	206349	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosomonadaceae unclassified	genus	family	206379	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodocyclales unclassified	genus	order	206389	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales				0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfomicrobiaceae unclassified	genus	family	213116	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonadaceae unclassified	genus	family	213421	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Pelobacteraceae unclassified	genus	family	213423	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophobacteraceae unclassified	genus	family	213465	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadales unclassified	genus	order	219686	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales				0	0	0	0	0	0	0	0	0	0	0	0	0
Alcanivoracaceae unclassified	genus	family	224372	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfonatronaceae unclassified	genus	family	224380	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nannocystaceae unclassified	genus	family	224463	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Kofleriaceae unclassified	genus	family	224464	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nautiliaceae unclassified	genus	family	224467	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Thermithiobacillaceae unclassified	genus	family	225059	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Thermithiobacillaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nautiliales unclassified	genus	order	235899	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales				0	0	0	0	0	0	0	0	0	0	0	0	0
Parvularculales unclassified	genus	order	255473	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales				0	0	0	0	0	0	0	0	0	0	0	0	0
Parvularculaceae unclassified	genus	family	255474	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Halothiobacillaceae unclassified	genus	family	255526	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonadaceae unclassified	genus	family	267888	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Colwelliaceae unclassified	genus	family	267889	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Moritellaceae unclassified	genus	family	267891	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolineales unclassified	genus	order	292629	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales				0	0	0	0	0	0	0	0	0	0	0	0	0
Gloeobacterales unclassified	genus	order	307595	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales				0	0	0	0	0	0	0	0	0	0	0	0	0
Gloeobacteria unclassified	genus	class	307596	Bacteria	Cyanobacteria	Gloeobacteria					0	0	0	0	0	0	0	0	0	0	0	0	0
Solirubrobacteraceae unclassified	genus	family	320599	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Solibacteres unclassified	genus	class	332159	Bacteria	Acidobacteria	Solibacteres					0	0	0	0	0	0	0	0	0	0	0	0	0
Solibacteraceae unclassified	genus	family	332161	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinaceae unclassified	genus	family	407032	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Opitutales unclassified	genus	order	415000	Bacteria	Verrucomicrobia	Opitutae	Opitutales				0	0	0	0	0	0	0	0	0	0	0	0	0
Puniceicoccales unclassified	genus	order	415001	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales				0	0	0	0	0	0	0	0	0	0	0	0	0
Puniceicoccaceae unclassified	genus	family	415002	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
SsRNA viruses unclassified	genus	no rank	439488	Viruses							0	0	0	0	0	0	0	0	0	0	0	0	0
Pleosporomycetidae unclassified	genus	subclass	451868	Fungi	Ascomycota	Dothideomycetes					0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfarculales unclassified	genus	order	453227	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales				0	0	0	0	0	0	0	0	0	0	0	0	0
Caldilineae unclassified	genus	class	475962	Bacteria	Chloroflexi	Caldilineae					0	0	0	0	0	0	0	0	0	0	0	0	0
Caldilineales unclassified	genus	order	475963	Bacteria	Chloroflexi	Caldilineae	Caldilineales				0	0	0	0	0	0	0	0	0	0	0	0	0
Caldilineaceae unclassified	genus	family	475964	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagae unclassified	genus	class	533205	Bacteria	Acidobacteria	Holophagae					0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales incertae sedis unclassified	genus	no rank	538999	Bacteria	Firmicutes	Clostridia	Clostridiales				0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales Family XVII. Incertae Sedis unclassified	genus	family	539000	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis			0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales incertae sedis unclassified	genus	no rank	539002	Bacteria	Firmicutes	Bacilli	Bacillales				0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillales Family XII. Incertae Sedis unclassified	genus	no rank	539742	Bacteria	Firmicutes	Bacilli	Bacillales				0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebozoa unclassified	genus	no rank	554915	Protista							0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagales unclassified	genus	order	574975	Bacteria	Acidobacteria	Holophagae	Holophagales				0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistia unclassified	genus	class	649775	Bacteria	Synergistetes	Synergistia					0	0	0	0	0	0	0	0	0	0	0	0	0
Phycisphaerales unclassified	genus	order	666506	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales				0	0	0	0	0	0	0	0	0	0	0	0	0
Phycisphaeraceae unclassified	genus	family	666507	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Pleosporineae unclassified	genus	suborder	715340	Fungi	Ascomycota	Dothideomycetes	Pleosporales				0	0	0	0	0	0	0	0	0	0	0	0	0
Dothideomyceta unclassified	genus	no rank	715962	Fungi	Ascomycota						0	0	0	0	0	0	0	0	0	0	0	0	0
Methylacidiphilales unclassified	genus	order	717963	Bacteria	Verrucomicrobia		Methylacidiphilales				0	0	0	0	0	0	0	0	0	0	0	0	0
Methylacidiphilaceae unclassified	genus	family	717964	Bacteria	Verrucomicrobia		Methylacidiphilales	Methylacidiphilaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophagia unclassified	genus	class	768503	Bacteria	Bacteroidetes	Cytophagia					0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcaceae unclassified	genus	family	909930	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Negativicutes unclassified	genus	class	909932	Bacteria	Firmicutes	Negativicutes					0	0	0	0	0	0	0	0	0	0	0	0	0
Sandaracinaceae unclassified	genus	family	1055686	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes Order II. Incertae sedis unclassified	genus	order	1100069	Bacteria	Bacteroidetes		Bacteroidetes Order II. Incertae sedis				0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoidaceae unclassified	genus	family	1202464	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoidales unclassified	genus	order	1202465	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales				0	0	0	0	0	0	0	0	0	0	0	0	0
Jiangellales unclassified	genus	order	1217098	Bacteria	Actinobacteria	Actinobacteria	Jiangellales				0	0	0	0	0	0	0	0	0	0	0	0	0
Jiangellaceae unclassified	genus	family	1217100	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Algiphilaceae unclassified	genus	family	1266054	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Algiphilaceae			0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinae unclassified	genus	phylum	1293497	Bacteria	Nitrospinae						0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinia unclassified	genus	class	1293498	Bacteria	Nitrospinae	Nitrospinia					0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospinales unclassified	genus	order	1293499	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales				0	0	0	0	0	0	0	0	0	0	0	0	0
