Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Hyphomonadaceae_unclassified	15	0	18	23	23	5	31	20	21	12	3	5
Coraliomargarita	13	22	37	11	16	7	17	23	14	0	8	8
Azorhizobium	9	3	17	30	17	11	21	16	19	19	1	11
Citromicrobium	8	4	9	41	16	14	26	10	20	8	6	10
Phaeodactylibacter	7	0	0	53	31	0	28	16	14	23	0	0
Meiothermus	5	1	2	22	15	5	16	19	18	11	20	37
Marinovum	20	11	33	23	20	3	15	16	7	7	5	10
Burkholderiales_Genera_incertae_sedis_unclassified	12	3	14	15	14	12	21	15	11	23	9	20
Alkalilimnicola	6	14	16	10	35	11	10	23	9	10	10	14
Agrobacterium	16	3	17	31	13	8	22	10	17	12	5	13
Thermoplasmatales_unclassified	8	0	1	0	8	39	0	9	10	0	40	52
Desulfovibrionaceae_unclassified	12	4	15	5	12	21	9	26	17	10	19	17
Geothrix	12	0	11	13	11	12	11	20	20	16	18	21
Pseudoxanthomonas	15	7	10	17	15	11	14	19	12	22	13	10
Armatimonadetes_unclassified	13	1	4	15	4	6	3	24	9	6	32	47
Hymenobacter	10	0	5	60	8	2	25	13	9	12	10	9
Shinella	12	5	28	20	20	9	12	12	7	14	7	13
Candidatus_Contendobacter	0	0	21	24	9	10	22	9	24	11	14	15
Caldilinea	6	0	0	13	14	18	16	16	21	12	16	26
Gordonia	8	2	9	19	10	10	27	22	11	17	11	9
Oceaniovalibus	12	9	31	33	13	4	13	8	16	6	2	8
Archaea_unclassified	5	0	3	2	4	29	4	16	24	25	6	36
Corallococcus	13	0	7	11	15	7	19	17	13	13	23	16
Stappia	21	5	24	23	12	6	16	12	14	10	4	7
Maribius	20	2	22	21	10	17	8	14	12	12	3	12
Thiohalorhabdus	7	9	10	9	17	9	15	16	10	12	21	17
Prochlorothrix	15	0	8	29	9	0	23	0	55	12	0	0
Thermus	12	0	9	10	11	15	6	23	15	18	11	19
Ramlibacter	0	0	22	24	10	3	20	22	0	18	0	28
Hydrogenophaga	14	0	16	27	6	12	16	7	4	17	18	9
Alcanivorax	11	7	7	3	14	9	22	15	23	12	6	16
Desulfofustis	0	0	16	0	23	14	11	29	13	6	13	20
Ornatilinea	0	0	0	11	13	18	16	20	19	11	15	22
Microcystis	11	4	23	9	14	6	11	5	41	11	6	3
Fodinicurvata	12	7	14	24	17	3	11	9	11	18	5	13
Desulfurivibrio	0	0	14	0	18	15	12	20	13	8	23	20
Methylocystaceae_unclassified	10	6	11	18	12	14	18	10	12	18	4	8
Halobacteria_unclassified	30	3	4	11	11	13	9	6	12	13	9	20
Bacillaceae_unclassified	7	8	12	19	6	10	22	13	15	9	10	9
Blastopirellula	10	0	0	13	15	17	16	20	8	13	11	17
Sagittula	18	5	13	29	12	6	12	11	11	6	3	13
Candidatus_Rokubacteria_unclassified	10	0	8	10	5	20	16	13	12	9	17	19
Maritimibacter	13	2	25	25	17	5	10	11	10	11	3	6
Desulfobacterium	0	7	14	0	15	7	16	33	18	0	12	16
Prevotella	6	1	15	9	19	6	15	17	15	10	15	9
Oscillochloris	0	0	0	17	12	0	20	17	42	18	0	11
Verrucomicrobiales_unclassified	1	8	14	12	16	9	16	16	13	0	14	17
Stigmatella	12	0	5	17	10	9	9	19	17	3	16	18
